Indiana Jones and the Last Crusade: The Graphic Adventure (Atari ST, Kixx)
THE TRANSLATION TABLE - reconstructed from the answer-derivation routine
in 92.LFL at 0x3B66-0x3CB2 (333 bytes of SCUMM v3 bytecode).

Symbol indices 0-11 = A B □ Δ E Φ Γ H I X K Λ
Each cell lists the four symbols in the order the game asks for them.
The game prompts 'Check Section <1-4>, Row <A-Z>, Column <1-7>'.

=== SECTION 1 ===
     Column 1   Column 2   Column 3   Column 4   Column 5   Column 6   Column 7 
  A  AEXX       KΦKΛ       K□XΛ       HΓKB       KHΛI       ΛXΔI       BKEK     
  B  AXΔΛ       EIEB       AKΔB       IHEI       □AΦK       □ΛΓA       EAH□     
  C  AΛΓI       □AHK       Λ□ΓK       ΔBHA       B□I□       AΔXX       KEKΛ     
  D  ΔBXA       B□K□       ΓEX□       XΦKX       ΔΓΛΛ       AIΔΛ       ΦAEB     
  E  AEXB       BHKI       Λ□XI       XΔKK       ΓHΛA       ΔXΔA       ΛKE□     
  F  BXΔI       ΛKEK       ΛHΔK       AΛEA       □AΦ□       BBΓX       Λ□HΛ     
  G  AΛΓA       □AH□       H□Γ□       ΔIHX       EEIΛ       AΔXB       ΛEKI     
  H  □ΦXΛ       ΓEKB       ΓBXB       X□KI       ΔΔΛK       ΛKΔK       BXEA     
  I  AIΔB       ΛXEI       AΛΔI       KAEK       ΓΛΦA       IAΓ□       ΛBHX     
  J  KAΓK       ΓΛHA       ΛBΓA       Φ□H□       IΔIX       □EXΛ       ΓΔKB     
  K  EBX□       Δ□KX       AEXX       KΦKΛ       □EΛB       EΛΔB       ΛAEI     
  L  BKΔX       AΛEΛ       ΛIΔΛ       EAEB       HBΦI       B□ΓK       ΦBHA     
  M  HΛΓB       □AHI       Λ□ΓI       XΔHK       B□IA       HΔX□       KEKX     
  N  E□XK       ΦΓKA       ΦΔXA       ΔEK□       □ΦΛX       ΛHΔX       ΦIEΛ     
  O  ΓXΔA       EKE□       EHΔ□       ΔIEX       BXΦΛ       ΓBΓB       □HHI     
